threshold,alert_rate,recall_high_acuity,precision_alert,specificity_non_high_acuity,missed_high_acuity_count,alerted_high_acuity_count,false_alert_count
0.05,0.2115625,1.0,0.9843426883308715,0.99581622987054,0,3332,53
0.1,0.2109375,1.0,0.9872592592592593,0.9966056204610041,0,3332,43
0.15,0.210375,1.0,0.98989898989899,0.9973160719924219,0,3332,34
0.2,0.2099375,1.0,0.9919618934206609,0.9978686454057467,0,3332,27
0.25,0.20975,1.0,0.9928486293206198,0.998105462582886,0,3332,24
0.3,0.2094375,1.0,0.994330050731125,0.9985001578781181,0,3332,19
0.35,0.20925,1.0,0.995221027479092,0.9987369750552574,0,3332,16
0.4,0.209125,1.0,0.99581589958159,0.9988948531733501,0,3332,14
0.45,0.208875,1.0,0.9970077797725913,0.9992106094095359,0,3332,10
0.5,0.2083125,1.0,0.9996999699969997,0.9999210609409536,0,3332,1
0.55,0.20825,1.0,1.0,1.0,0,3332,0
0.6,0.20825,1.0,1.0,1.0,0,3332,0
0.65,0.20825,1.0,1.0,1.0,0,3332,0
0.7,0.2080625,0.9990996398559424,1.0,1.0,3,3329,0
0.75,0.2080625,0.9990996398559424,1.0,1.0,3,3329,0
0.8,0.208,0.9987995198079231,1.0,1.0,4,3328,0
0.85,0.2078125,0.9978991596638656,1.0,1.0,7,3325,0
0.9,0.2075,0.9963985594237695,1.0,1.0,12,3320,0
0.95,0.2073125,0.9954981992797118,1.0,1.0,15,3317,0
