value,group,rows,high_acuity_cases,severe_undertriage_cases,severe_undertriage_rate_among_high_acuity
elderly,age_group,4366,890,0,0.0
middle_aged,age_group,5552,1187,0,0.0
pediatric,age_group,1344,288,0,0.0
young_adult,age_group,4738,967,0,0.0
F,sex,7913,1697,0,0.0
M,sex,7696,1560,0,0.0
Other,sex,391,75,0,0.0
Arabic,language,777,151,0,0.0
English,language,1613,347,0,0.0
Estonian,language,981,207,0,0.0
Finnish,language,8765,1838,0,0.0
Other,language,784,166,0,0.0
Russian,language,1155,236,0,0.0
Somali,language,648,126,0,0.0
Swedish,language,1277,261,0,0.0
military,insurance_type,624,113,0,0.0
none,insurance_type,1257,272,0,0.0
private,insurance_type,3998,851,0,0.0
public,insurance_type,9664,1996,0,0.0
unknown,insurance_type,457,100,0,0.0
SITE-HEL-01,site_id,3302,674,0,0.0
SITE-HEL-02,site_id,3141,612,0,0.0
SITE-OUL-01,site_id,3075,635,0,0.0
SITE-TMP-01,site_id,3245,683,0,0.0
SITE-TUR-01,site_id,3237,728,0,0.0
ambulance,arrival_mode,4509,971,0,0.0
brought_by_family,arrival_mode,1097,247,0,0.0
helicopter,arrival_mode,493,102,0,0.0
police,arrival_mode,621,119,0,0.0
transfer,arrival_mode,1602,329,0,0.0
walk-in,arrival_mode,7678,1564,0,0.0
